,Name,OS,Price,91 mobiles rating,Brand,Core,Processor,RAM,Display Size,Display Type,Refresh Rate,Camera Details,Flash Type,Screen flash,Battery,Fast charging,Type-C,Youtube Rating,Final Rating
0,Apple iPhone 15 Pro Max,iOS v17,"Rs.148,900",9.7,Apple,"Hexa Core (3.78 GHz, Dual Core + 2.11 GHz, Quad core)",Apple A17 Pro,8 GB RAM,6.7 inches (17.02 cm),"FHD+, OLED",120 Hz Refresh Rate,48 MP + 12 MP + 12 MP Triple Primary Cameras,Dual-color LED Flash,Retina Flash,4422 mAh,Fast Charging,USB Type-C Port,7.976752915,9.183025874
1,Apple iPhone 15,iOS v17,"Rs.70,500",9.3,Apple,"Hexa Core (3.46 GHz, Dual Core + 2.02 GHz, Quad core)",Apple A16 Bionic,6 GB RAM,6.1 inches (15.49 cm),"FHD+, OLED",60 Hz Refresh Rate,48 MP + 12 MP Dual Primary Cameras,Dual-color LED Flash,Retina Flash,3349 mAh,Fast Charging,USB Type-C Port,10,9.51
2,Apple iPhone 13,iOS v15,"Rs.48,499",9.3,Apple,"Hexa Core (3.23 GHz, Dual Core + 1.82 GHz, Quad core)",Apple A15 Bionic,4 GB RAM,6.1 inches (15.49 cm),"FHD+, OLED",60 Hz Refresh Rate,12 MP + 12 MP Dual Primary Cameras,Dual LED Flash,Retina Flash,3227 mAh,Fast Charging,Lightning Port,7.375083852,8.722525156
3,Apple iPhone 14,iOS v16,"Rs.61,200",9.4,Apple,"Hexa Core (3.23 GHz, Dual Core + 1.82 GHz, Quad core)",Apple A15 Bionic,6 GB RAM,6.1 inches (15.49 cm),"FHD+, OLED",60 Hz Refresh Rate,12 MP + 12 MP Dual Primary Cameras,LED Flash,Retina Flash,3279 mAh,Fast Charging,Lightning Port,7.923526236,8.957057871
4,Apple iPhone 15 Plus,iOS v17,"Rs.79,800",9.4,Apple,"Hexa Core (3.46 GHz, Dual Core + 2.02 GHz, Quad core)",Apple A16 Bionic,6 GB RAM,6.7 inches (17.02 cm),"FHD+, OLED",60 Hz Refresh Rate,48 MP + 12 MP Dual Primary Cameras,Dual-color LED Flash,Retina Flash,4383 mAh,Fast Charging,USB Type-C Port,7.976752915,8.973025874
5,Apple iPhone 11,iOS v13,"Rs.43,900",8.5,Apple,"Hexa Core (2.65 GHz, Dual Core + 1.8 GHz, Quad core)",Apple A13 Bionic,4 GB RAM,6.1 inches (15.49 cm),"HD+, IPS LCD",60 Hz Refresh Rate,12 MP + 12 MP Dual Primary Cameras,Quad LED True Tone Flash,Retina Flash,3110 mAh,Fast Charging,Lightning Port,8.193647812,8.408094344
6,Apple iPhone 12,iOS v14,"Rs.41,499",8.9,Apple,"Hexa Core (3.1 GHz, Dual Core + 1.8 GHz, Quad core)",Apple A14 Bionic,4 GB RAM,6.1 inches (15.49 cm),"FHD+, OLED",60 Hz Refresh Rate,12 MP + 12 MP Dual Primary Cameras,Dual LED Flash,Retina Flash,2815 mAh,Fast Charging,Lightning Port,8.997319236,8.929195771
7,Apple iPhone 15 Pro,iOS v17,"Rs.127,990",9.6,Apple,"Hexa Core (3.78 GHz, Dual Core + 2.11 GHz, Quad core)",Apple A17 Pro,8 GB RAM,6.1 inches (15.49 cm),"FHD+, OLED",120 Hz Refresh Rate,48 MP + 12 MP + 12 MP Triple Primary Cameras,Dual-color LED Flash,Retina Flash,3274 mAh,Fast Charging,USB Type-C Port,10,9.72
8,Apple iPhone 14 Plus,iOS v16,"Rs.70,500",9,Apple,"Hexa Core (3.23 GHz, Dual Core + 1.82 GHz, Quad core)",Apple A15 Bionic,6 GB RAM,6.7 inches (17.02 cm),"FHD+, OLED",60 Hz Refresh Rate,12 MP + 12 MP Dual Primary Cameras,LED Flash,Retina Flash,4325 mAh,Fast Charging,Lightning Port,7.762002976,8.628600893
9,Apple iPhone 12 Pro Max,iOS v14,"Rs.119,900",9.1,Apple,"Hexa Core (3.1 GHz, Dual Core + 1.8 GHz, Quad core)",Apple A14 Bionic,6 GB RAM,6.7 inches (17.02 cm),"FHD+, OLED",60 Hz Refresh Rate,12 MP + 12 MP + 12 MP Triple Primary Cameras,Dual LED Flash,Retina Flash,3687 mAh,Fast Charging,Lightning Port,8.997319236,9.069195771
10,Apple iPhone SE 2022 ,iOS v15,"Rs.30,730",8.5,Apple,"Hexa Core (3.23 GHz, Dual Core + 1.82 GHz, Quad core)",Apple A15 Bionic,4 GB RAM,4.7 inches (11.94 cm),"HD+, IPS LCD",60 Hz Refresh Rate,Quad LED Flash,Retina Flash,Retina Flash,Fast Charging,Fast Charging,Lightning Port,9.208855547,8.712656664
11,Apple iPhone 12 Mini,iOS v14,"Rs.59,900",9.1,Apple,"Hexa Core (3.1 GHz, Dual Core + 1.8 GHz, Quad core)",Apple A14 Bionic,4 GB RAM,5.4 inches (13.72 cm),"FHD+, OLED",60 Hz Refresh Rate,12 MP + 12 MP Dual Primary Cameras,Dual LED Flash,Retina Flash,2227 mAh,Fast Charging,Lightning Port,8.51859774,8.925579322
12,Apple iPhone XR,iOS v12,"Rs.47,900",8,Apple,"Hexa Core (2.49 GHz, Dual Core + 1.52 GHz, Quad core)",Apple A12 Bionic,3 GB RAM,6.1 inches (15.49 cm),"HD+, IPS LCD",60 Hz Refresh Rate,12 MP Primary Camera,Quad LED True Tone Flash,Retina Flash,2942 mAh,Fast Charging,Lightning Port,7.896508257,7.968952477
13,Apple iPhone SE 2020 ,iOS v13,"Rs.39,900",8.1,Apple,"Hexa Core (2.65 GHz, Dual Core + 1.8 GHz, Quad core)",Apple A13 Bionic,3 GB RAM,4.7 inches (11.94 cm),"HD+, IPS LCD",60 Hz Refresh Rate,Quad LED True Tone Flash,Retina Flash,Retina Flash,Fast Charging,Fast Charging,Lightning Port,8.53616231,8.230848693
14,Apple iPhone 12 128GB,iOS v14,"Rs.50,999",8.9,Apple,"Hexa Core (3.1 GHz, Dual Core + 1.8 GHz, Quad core)",Apple A14 Bionic,4 GB RAM,6.1 inches (15.49 cm),"FHD+, OLED",60 Hz Refresh Rate,12 MP + 12 MP Dual Primary Cameras,Dual LED Flash,Retina Flash,2815 mAh,Fast Charging,Lightning Port,8.997319236,8.929195771
15,Apple iPhone 11 128GB,iOS v13,"Rs.45,994",8.5,Apple,"Hexa Core (2.65 GHz, Dual Core + 1.8 GHz, Quad core)",Apple A13 Bionic,4 GB RAM,6.1 inches (15.49 cm),"HD+, IPS LCD",60 Hz Refresh Rate,12 MP + 12 MP Dual Primary Cameras,Quad LED True Tone Flash,Retina Flash,3110 mAh,Fast Charging,Lightning Port,8.193660903,8.408098271
16,Apple iPhone 15 Pro Max 512GB,iOS v17,"Rs.169,990",9.7,Apple,"Hexa Core (3.78 GHz, Dual Core + 2.11 GHz, Quad core)",Apple A17 Pro,8 GB RAM,6.7 inches (17.02 cm),"FHD+, OLED",120 Hz Refresh Rate,48 MP + 12 MP + 12 MP Triple Primary Cameras,Dual-color LED Flash,Retina Flash,4422 mAh,Fast Charging,USB Type-C Port,10,9.79
17,Apple iPhone 15 Plus 256GB,iOS v17,"Rs.89,200",9.4,Apple,"Hexa Core (3.46 GHz, Dual Core + 2.02 GHz, Quad core)",Apple A16 Bionic,6 GB RAM,6.7 inches (17.02 cm),"FHD+, OLED",60 Hz Refresh Rate,48 MP + 12 MP Dual Primary Cameras,Dual-color LED Flash,Retina Flash,4383 mAh,Fast Charging,USB Type-C Port,7.976747449,8.973024235
18,Apple iPhone 15 Pro Max 1TB,iOS v17,"Rs.199,900",9.7,Apple,"Hexa Core (3.78 GHz, Dual Core + 2.11 GHz, Quad core)",Apple A17 Pro,8 GB RAM,6.7 inches (17.02 cm),"FHD+, OLED",120 Hz Refresh Rate,48 MP + 12 MP + 12 MP Triple Primary Cameras,Dual-color LED Flash,Retina Flash,4422 mAh,Fast Charging,USB Type-C Port,10,9.79
19,Apple iPhone 11 Pro Max,iOS v13,"Rs.109,900",8.9,Apple,"Hexa Core (2.65 GHz, Dual Core + 1.8 GHz, Quad core)",Apple A13 Bionic,4 GB RAM,6.5 inches (16.51 cm),"FHD+, OLED",60 Hz Refresh Rate,Quad LED True Tone Flash,Retina Flash,Retina Flash,Fast Charging,Fast Charging,Lightning Port,6.28868959,8.116606877
